Neighborhood,Longitude,Latitude,Zillow-Price
Adams Morgan,-77.042391,38.920472,"565,700"
American University Park,-77.09025,38.947612,"1,043,400"
Barnaby Woods,-77.060174,38.975433,"1,085,500"
Benning,-76.948884,38.891885,"326,600"
Benning Ridge,-76.938203,38.881162,"323,200"
Foxhall Crescents,-77.092767,38.920486,"1,712,000"
Bloomingdale,-77.011159,38.918226,"837,500"
Brightwood,-77.026874,38.966379,"644,100"
Brightwood Park,-77.024871,38.955748,"552,700"
Brookland,-76.984414,38.931404,"644,000"
Knox Hill/Buena Vista,-76.96766,38.853688,"303,900"
Burleith/Hillandale,-77.074566,38.915003,"1,127,300"
Capitol Hill,-76.998477,38.883621,"812,400"
Capitol View,-76.927086,38.889978,"370,300"
Carver,-76.97785,38.902465,"501,400"
Cathedral Heights,-77.07986,38.934272,"333,300"
University Heights,-76.995762,38.938249,"367,600"
Chevy Chase,-77.066478,38.963146,"1,043,400"
Cleveland Park,-77.064402,38.936098,"968,600"
Colonial Village,-77.041094,38.98679,"933,800"
Columbia Heights,-77.030586,38.928008,"639,000"
Congress Heights,-76.99795,38.841077,"343,200"
Crestwood,-77.041097,38.943327,"1,036,900"
Deanwood,-76.932801,38.904107,"325,500"
Downtown,-77.029175,38.900526,"585,500"
Dupont Circle,-77.040984,38.912128,"426,600"
Dupont Park,-76.962818,38.87263,"475,300"
NE Boundary,-76.917389,38.895451,"317,200"
Eckington,-77.000425,38.915202,"710,800"
Edgewood,-77.000739,38.925199,"596,700"
Foggy Bottom,-77.052436,38.899022,"347,800"
Forest Hills,-77.058462,38.946893,"686,200"
Fort Dupont,-76.950685,38.886017,"335,500"
Friendship Heights,-77.083854,38.956907,"1,053,600"
Georgetown,-77.064796,38.909556,"1,181,600"
Glover Park,-77.075738,38.921531,"417,000"
Lincoln Heights,-76.931097,38.895805,"330,100"
Chinatown,-77.020135,38.899151,"501,800"
Kalorama Heights,-77.051195,38.91566,"1,242,800"
Palisades,-77.10352,38.929808,"1,446,100"
Kingman Park,-76.978437,38.894887,"631,700"
Langdon,-76.974689,38.924017,"530,500"
Le Droit Park,-77.017605,38.916832,"811,300"
Manor Park,-77.012657,38.962062,"611,400"
McLean Gardens,-77.075296,38.936151,"393,800"
Michigan Park,-76.983772,38.946934,"513,900"
Mount Pleasant,-77.040656,38.931741,"901,300"
Mount Vernon Square,-77.019885,38.903548,"538,900"
Near Northeast,-76.999734,38.902375,"759,600"
North Capitol Street,-77.011275,38.902532,"452,100"
North Cleveland Park,-77.071774,38.947879,"1,067,800"
North Michigan Park,-76.993666,38.945644,"531,500"
Park View,-77.021444,38.934604,"673,600"
Penn Quarter,-77.022181,38.89537,"463,500"
Petworth,-77.024017,38.943039,"658,900"
Randle Highlands,-76.965804,38.869336,"364,600"
Lamond Riggs,-77.006445,38.96507,"489,700"
Logan Circle/Shaw,-77.02534,38.909816,"742,700"
Shepherd Park,-77.032126,38.98298,"822,600"
Shipley,-76.972902,38.84686,"299,700"
16th Street Heights,-77.033559,38.950315,"729,100"
Southwest/Waterfront,-77.016903,38.877908,"413,800"
Spring Valley,-77.096724,38.939311,"1,689,100"
Stronghold,-77.007767,38.925776,"668,000"
Takoma,-77.021558,38.976462,"581,300"
Georgetown Reservoir,-77.090677,38.909637,"940,300"
Trinidad,-76.982737,38.908462,"639,900"
Truxton Circle,-77.012394,38.909667,"753,200"
Cardozo/Shaw,-77.02755,38.917168,"625,000"
North Cleveland Park,-77.071774,38.947879,"506,700"
Wesley Heights,-77.088325,38.929981,"782,100"
West End,-77.051882,38.90555,"622,100"
Woodley Park,-77.057483,38.927265,"683,900"
Woodridge,-76.96864,38.934021,"530,600"
